年份,粗钢产量,短流程占比,氢冶金占比,长流程产量,短流程产量,氢冶金产量,长流程废钢消耗,短流程废钢消耗,氢冶金废钢消耗,废钢消耗总量,绿电降碳潜力,低碳工艺降碳潜力,长流程吨钢耗废钢,产量变化降碳,原料优化降碳,短流程降碳,氢冶金降碳,绿电降碳,低碳工艺降碳,技术减排总量,目标碳强度,目标排放,CCUS捕集量,CCUS占比
2024,100509,10.0,1.0,89453.01,10050.9,1005.09,26835.903,11055.99,502.545,38394.437999999995,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,195992.55,0.0,
2025,96081,10.33333333333333,1.133333333333333,85063.71200000001,9928.369999999997,1088.9179999999997,25519.113600000004,10921.206999999999,544.4589999999998,36984.77960000001,587.4237169185002,64.054,0.3,8634.6,0.0,432.36449999999616,19.21619999999998,587.4237169185002,64.054,9737.658416918497,1.954,187742.274,-1487.3824169185245,-18.028274653096812
2026,94000,10.66666666666667,1.266666666666667,82782.66666666666,10026.66666666667,1190.666666666667,24834.799999999996,11029.333333333338,595.3333333333335,36459.46666666667,1150.3991659999997,187.99999999999997,0.3,12692.55,0.0,846.0000000000039,37.600000000000094,1150.3991659999997,187.99999999999997,14914.549166000003,1.923,180762.0,316.00083399997675,2.0747828148029925
2027,92500,11.0,1.4,81030.0,10175.0,1294.9999999999998,24309.0,11192.5,647.4999999999999,36149.0,1699.53501375,370.0,0.3,15617.55,0.0,1248.75,55.50000000000004,1699.53501375,370.0,18991.33501375,1.891,174917.5,2083.714986249979,9.887117640290208
2028,91000,11.33333333333333,1.533333333333333,79291.33333333334,10313.33333333333,1395.333333333333,23787.4,11344.666666666664,697.6666666666665,35829.73333333333,2231.231366,606.6666666666667,0.3,18542.55,0.0,1637.9999999999966,72.80000000000001,2231.231366,606.6666666666667,23091.248032666663,1.86,169260.0,3641.301967333333,13.62122942754557
2029,89500,11.66666666666667,1.666666666666667,77566.66666666666,10441.66666666667,1491.666666666667,23269.999999999996,11485.833333333338,745.8333333333335,35501.66666666667,2745.4404687499996,895.0000000000002,0.3,21467.55,0.0,2013.7500000000036,89.50000000000013,2745.4404687499996,895.0000000000002,27211.240468750002,1.829,163695.5,5085.809531249979,15.746978535965303
2030,88000,12.0,1.8,75856.0,10560.0,1584.0,22756.8,11616.000000000002,792.0,35164.8,3242.114568,1232.0000000000002,0.3,24392.55,0.0,2376.0,105.6000000000001,3242.114568,1232.0000000000002,31348.264568,1.798,158224.0,6420.285432000004,16.999025464308275
2031,86800,12.8,2.04,73918.88,11110.4,1770.72,22175.664,12221.44,885.36,35282.464,3759.6646605055994,1753.3600000000001,0.3,26732.55,0.0,3281.040000000001,135.40800000000013,3759.6646605055994,1753.3600000000001,35662.0226605056,1.76,152768.0,7562.52733949438,17.495907625398953
2032,85600,13.6,2.28,72006.72,11641.6,1951.6799999999996,21602.016,12805.760000000002,975.8399999999998,35383.615999999995,4263.8550600128,2448.1600000000003,0.3,29072.55,0.0,4160.16,164.35200000000012,4263.8550600128,2448.1600000000003,40109.0770600128,1.722,147403.2,8480.27293998719,17.45294584098612
2033,84400,14.4,2.52,70119.52,12153.6,2126.88,21035.856,13368.960000000001,1063.44,35468.256,4754.594384467199,3308.4800000000005,0.3,31412.55,0.0,5013.360000000001,192.4320000000002,4754.594384467199,3308.4800000000005,44681.41638446721,1.684,142129.6,9181.533615532768,17.046102405331997
2034,83200,15.2,2.76,68257.28,12646.4,2296.3199999999997,20477.183999999997,13911.04,1148.1599999999999,35536.384000000005,5231.791251814399,4326.400000000001,0.3,33752.549999999996,0.0,5840.64,219.64800000000014,5231.791251814399,4326.400000000001,49371.0292518144,1.646,136947.19999999998,9674.320748185593,16.384559915701395
2035,82000,16.0,3.0,66420.0,13120.0,2460.0,19926.0,14432.000000000002,1230.0,35588.0,5695.3542800000005,5494.0,0.3,36092.549999999996,0.0,6642.0,246.00000000000023,5695.3542800000005,5494.0,54169.904279999995,1.607,131774.0,10048.64572,15.647574914101925
2036,81200,17.2,3.6,64310.4,13966.4,2923.2,19293.12,15363.04,1461.6,36117.76,6344.914375519999,6820.8,0.3,37652.549999999996,0.0,7892.64,316.68000000000023,6344.914375519999,6820.8,59027.58437552,1.516,123099.2,13865.765624479987,19.021989831006522
2037,80500,18.4,4.2,62307.0,14812.0,3381.0,18692.1,16293.2,1690.5,36675.8,6993.619462199999,8291.5,0.3,39017.549999999996,0.0,9128.699999999999,386.4000000000003,6993.619462199999,8291.5,63817.76946219999,1.424,114632.0,17542.78053779999,21.56177722225328
2038,79800,19.6,4.8,60328.8,15640.8,3830.4,18098.64,17204.88,1915.2,37218.72,7634.410331520001,9895.2,0.3,40382.549999999996,0.0,10342.080000000002,454.8600000000004,7634.410331520001,9895.2,68709.10033151999,1.333,106373.4,20910.049668480002,23.332122284667957
2039,79200,20.8,5.4,58449.6,16473.6,4276.8,17534.879999999997,18120.96,2138.4,37794.24,8277.62487552,11642.400000000001,0.3,41552.549999999996,0.0,11547.36,522.7200000000005,8277.62487552,11642.400000000001,73542.65487552,1.241,98287.20000000001,24162.69512447997,24.730165875747826
2040,78600,22.0,6.0,56592.0,17292.0,4716.0,16977.6,19021.2,2358.0,38356.8,8914.477949999999,13519.2,0.3,42722.549999999996,0.0,12733.2,589.5000000000006,8914.477949999999,13519.2,78478.92795,1.15,90390.0,27123.62204999999,25.684627928018777
2041,78000,23.0,6.5,54990.00000000001,17940.0,5070.0,16497.0,19734.0,2535.0,38766.0,9224.496917999999,15405.0,0.29999999999999993,43892.549999999996,-3.846223339820654e-12,13689.0,643.5000000000006,9224.496917999999,15405.0,82854.546918,1.075,83850.0,29288.003081999996,26.116762176355003
2042,77400,24.0,7.0,53405.99999999999,18576.0,5418.0,16021.799999999997,20433.600000000002,2709.0,39164.4,9530.5475286,17298.9,0.3,45062.549999999996,0.0,14628.6,696.6000000000006,9530.5475286,17298.9,87217.1975286,1.0,77400.0,31375.352471399994,26.45642788809246
2043,76800,25.0,7.5,51840.0,19200.0,5760.0,15552.0,21120.0,2880.0,39552.0,9832.5868032,19200.0,0.3,46232.549999999996,0.0,15552.000000000002,748.8000000000006,9832.5868032,19200.0,91565.93680319999,0.925,71040.0,33386.6131968,26.719433254303333
2044,76200,26.0,8.0,50292.0,19812.0,6096.0,15087.599999999999,21793.2,3048.0,39928.8,10130.5717632,21107.4,0.3,47402.549999999996,0.0,16459.2,800.1000000000007,10130.5717632,21107.4,95899.82176319999,0.85,64770.0,35322.7282368,26.91818459312062
2045,75600,27.0,8.5,48762.0,20412.0,6426.0,14628.6,22453.2,3213.0,40294.8,10424.459429999999,23020.200000000004,0.3,48572.549999999996,0.0,17350.2,850.5000000000008,10424.459429999999,23020.200000000004,100217.90943,0.775,58590.0,37184.64056999999,27.062554930749094
2046,75000,28.0,9.0,47250.0,21000.0,6750.0,14175.0,23100.000000000004,3375.0,40650.0,10714.206825000001,24937.500000000007,0.3,49742.549999999996,0.0,18225.0,900.0000000000008,10714.206825000001,24937.500000000007,104519.25682499999,0.7,52500.0,38973.293175,27.160499395264775
2047,74500,29.0,9.5,45817.5,21605.0,7077.5,13745.25,23765.500000000004,3538.75,41049.5,11014.555608,26894.500000000007,0.3,50717.549999999996,0.0,19109.25,949.8750000000008,11014.555608,26894.500000000007,108685.73060799998,0.625,46562.5,40744.319392000005,27.266483141777716
2048,74000,30.0,10.0,44400.0,22200.0,7400.0,13320.0,24420.000000000004,3700.0,41440.0,11311.680996,28860.00000000001,0.3,51692.549999999996,0.0,19980.0,999.0000000000009,11311.680996,28860.00000000001,112843.230996,0.55,40700.0,42449.31900399999,27.335064691770462
2049,73500,31.0,10.5,42997.5,22785.0,7717.5,12899.25,25063.500000000004,3858.75,41821.5,11605.5471735,30833.250000000007,0.3,52667.549999999996,0.0,20837.25,1047.375000000001,11605.5471735,30833.250000000007,116990.97217349999,0.475,34912.5,44089.0778265,27.37091143595995
2050,73000,32.0,11.0,41610.0,23360.0,8030.0,12483.0,25696.000000000004,4015.0,42194.0,11896.118325,32813.50000000001,0.3,53642.549999999996,0.0,21681.0,1095.000000000001,11896.118325,32813.50000000001,121128.168325,0.4,29200.0,45664.38167499998,27.377950439033388
2051,72300,33.0,11.4,40198.799999999996,23859.0,8242.2,12059.639999999998,26244.9,4121.1,42425.64,12167.254123794,34581.09000000001,0.3,55007.549999999996,0.0,22449.15,1127.880000000001,12167.254123794,34581.09000000001,125332.92412379402,0.365,26389.5,44270.12587620597,26.102199150431538
2052,71600,34.0,11.8,38807.2,24344.0,8448.8,11642.159999999998,26778.4,4224.4,42644.96,12432.663231072,36222.44000000001,0.3,56372.549999999996,0.0,23198.4,1159.920000000001,12432.663231072,36222.44000000001,129385.97323107201,0.33,23628.0,42978.576768927975,24.934696124538355
2053,70900,35.0,12.2,37435.200000000004,24815.0,8649.8,11230.560000000001,27296.500000000004,4324.9,42851.96000000001,12692.294836578,37740.07000000001,0.3,57737.549999999996,0.0,23928.75,1191.120000000001,12692.294836578,37740.07000000001,133289.784836578,0.295,20915.5,41787.26516342198,23.867928528280537
2054,70200,36.0,12.6,36082.8,25272.0,8845.2,10824.84,27799.2,4422.6,43046.64,12946.098130055998,39136.50000000001,0.3,59102.549999999996,0.0,24640.2,1221.4800000000012,12946.098130055998,39136.50000000001,137046.828130056,0.26,18252.0,40693.72186994398,22.895012910640812
2055,69500,37.0,13.0,34750.0,25715.0,9035.0,10425.0,28286.500000000004,4517.5,43229.0,13194.02230125,40414.25000000001,0.3,60467.549999999996,0.0,25332.75,1251.0000000000011,13194.02230125,40414.25000000001,140659.57230124998,0.225,15637.5,39695.47769875001,22.00962917242961
2056,68800,38.0,13.4,33436.799999999996,26144.0,9219.2,10031.039999999999,28758.4,4609.6,43399.04,13436.016539903998,41575.84000000001,0.3,61832.549999999996,0.0,26006.4,1279.6800000000012,13436.016539903998,41575.84000000001,144130.48653990403,0.19,13072.0,38790.06346009596,21.20596262152938
2057,68200,39.0,13.8,32190.399999999998,26598.0,9411.6,9657.119999999999,29257.800000000003,4705.8,43620.72,13692.106438163997,42686.38000000001,0.3,63002.549999999996,0.0,26700.300000000003,1309.4400000000012,13692.106438163997,42686.38000000001,147390.77643816403,0.155,10571.0,38030.77356183596,20.510438814601624
2058,67600,40.0,14.2,30960.8,27040.0,9599.2,9288.24,29744.000000000004,4799.6,43831.840000000004,13943.264239632,43689.880000000005,0.3,64172.549999999996,0.0,27378.0,1338.4800000000014,13943.264239632,43689.880000000005,150522.17423963198,0.12,8112.0,37358.37576036801,19.884110281967992
2059,67100,41.0,14.6,29792.400000000005,27511.0,9796.6,8937.720000000001,30262.100000000002,4898.3,44098.12000000001,14210.624670857998,44655.05,0.3,65147.549999999996,0.0,28081.350000000002,1368.8400000000013,14210.624670857998,44655.05,153463.414670858,0.085,5703.5,36825.63532914198,19.352472109741463
2060,66600,42.0,15.0,28638.000000000004,27972.0,9990.0,8591.400000000001,30769.2,4995.0,44355.600000000006,14474.0750364,45521.100000000006,0.3,66122.55,0.0,28771.2,1398.6000000000013,14474.0750364,45521.100000000006,156287.5250364,0.05,3330.0,36375.02496359998,18.880174150918265
