年份,粗钢产量,短流程占比,氢冶金占比,绿电降碳潜力,低碳工艺降碳潜力,产量变化降碳,短流程降碳,氢冶金降碳,原料优化降碳,技术减排总量,目标碳强度,目标排放,CCUS原始,CCUS拦截,CCUS占比
2024,100509,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.95,195992.55,0.0,0.0,
2025,96081,10.8,1.1,391.38215029375004,48.0405,8634.6,1037.674800000001,14.412150000000024,0,10126.10960029375,1.958,188126.598,-2260.157600293751,0.0,0.0
2026,95000,11.5,1.2,774.1675083333333,142.5,10742.55,1923.7500000000002,28.50000000000002,0,13611.467508333333,1.941,184395.0,-2013.9175083333394,0.0,0.0
2027,94000,12.039663305139882,1.307229993493819,1149.3392925,282.0,12692.55,2588.3327342225107,43.31942908262851,0,16755.541455805138,1.924,180856.0,-1618.9914558051387,0.0,0.0
2028,93000,12.5,1.4,1516.5609200000001,465.0,14642.55,3138.75,55.80000000000004,0,19818.66092,1.907,177351.0,-1177.1109200000064,0.0,0.0
2029,92000,12.978846779440467,1.4585800260247235,1875.8257583333334,690.0,16592.55,3699.72770006506,63.284043591411894,0,22921.387501989804,1.891,173972.0,-900.8375019898231,0.0,0.0
2030,91000,13.5,1.5,2227.1271749999996,955.4999999999999,18542.55,4299.75,68.25000000000006,0,26093.177174999997,1.874,170534.0,-634.6271750000014,0.0,0.0
2031,90000,14.069342875731945,1.547540663630449,2645.476092,1341.0,20492.55,4944.251594014313,73.91798959011068,0,29497.195675604424,1.849,166410.0,85.35432439556462,85.35432439556462,0.2885292998594261
2032,89000,14.695146389069617,1.612726089785296,3054.7400758000003,1842.3,22442.55,5641.218386467146,81.79893298633709,0,33062.607395253486,1.825,162425.0,504.9426047464949,504.9426047464949,1.5042581443879437
2033,87800,15.386278464541316,1.7041411841249188,3447.04162656,2449.62,24782.55,6384.355864020823,92.7353939492519,0,37156.30288453008,1.8,158040.0,796.247115469916,796.247115469916,2.098006894055646
2034,86600,16.151607026675343,1.830370852309694,3828.2290174799996,3160.9000000000005,27122.55,7191.843774886145,107.86517371502934,0,41411.38796608117,1.776,153801.6,779.5620339188026,779.5620339188026,1.8476996462957176
2035,85500,17.0,2.0,4203.187695,3975.7500000000005,29267.55,8079.750000000001,128.2500000000001,0,45654.487695,1.751,149710.5,627.5623049999704,627.5623049999704,1.3559518322977713
2036,84800,17.933938841899803,2.2192166558230317,4803.92335808,4926.88,30632.55,9082.773186206896,155.08435862068978,0,49601.21090290758,1.691,143396.80000000002,2994.5390970923763,2994.5390970923763,5.693500134692211
2037,84200,18.930359141184123,2.4846213402732595,5403.13365228,6003.46,31802.55,10151.139235783994,187.50767527651286,0,53547.79056334051,1.631,137330.2,5114.559436659474,5114.559436659474,8.718640553369369
2038,83600,19.959810019518542,2.7904176968119714,5995.84812904,7197.960000000001,32972.549999999996,11240.64158802863,224.51837918022142,0,57631.518096248845,1.571,131335.6,7025.43190375113,7025.43190375113,10.86570261008466
2039,83100,20.99284059856864,3.1308093689004552,6589.942484159999,8517.75,33947.549999999996,12332.318225504228,265.60538783344197,0,61653.16609749766,1.51,125481.0,8858.383902502334,8858.383902502334,12.563025351878288
2040,82600,22.0,3.5,7178.954328,9953.300000000001,34922.549999999996,13381.2,309.7500000000003,0,65745.754328,1.45,119770.0,10476.795671999993,10476.795671999993,13.745008100621133
2041,82200,22.957667859466493,3.892692582953806,7507.199724359999,11417.580000000002,35702.549999999996,14379.12402364997,356.6689954782046,0,69363.12274348817,1.38,113435.99999999999,13193.42725651183,13193.42725651183,15.981078735135892
2042,81800,23.865545868575147,4.305587508132726,7833.3878784,12899.860000000002,36482.549999999996,15311.722302667535,405.5955872478858,0,72933.11576831542,1.31,107158.0,15901.434231684572,15901.434231684572,17.900056038652277
2043,81500,24.729166232921276,4.735884515289524,8167.518636899999,14417.350000000002,37067.549999999996,16205.765147771635,456.71188199414473,0,76314.89566666578,1.24,101060.0,18617.654333334212,18617.654333334212,19.611455010251188
2044,81200,25.554061158100197,5.180783344176968,8500.442917119999,15955.800000000003,37652.549999999996,17050.36184150944,509.2194113207551,0,79668.37416995018,1.17,95004.0,21320.175830049804,21320.175830049804,21.111478311204397
2045,80900,26.34576284970722,5.6374837345478195,8832.1444827,17514.850000000002,38237.549999999996,17852.024896307743,562.7586511873784,0,82999.32803019512,1.1,88990.0,24003.221969804872,24003.221969804872,22.432383125266522
2046,80600,27.10980351333767,6.103185426154848,9162.607097279999,19094.140000000003,38822.549999999996,18617.17720286272,616.9751180221217,0,86313.44941816483,1.03,83018.0,26661.100581835155,26661.100581835155,23.599209363378883
2047,80300,27.851715354586858,6.575088158750813,9491.8145245,20693.310000000005,39407.549999999996,19352.152030139885,671.519368721536,0,89616.34592336143,0.96,77088.0,29288.20407663856,29288.20407663856,24.63169330075137
2048,79800,28.577030579050096,7.050391672088484,9795.20115168,22256.22,40382.549999999996,20013.035042810672,724.2318831489922,0,93171.23807763966,0.89,71022.0,31799.311922360328,31799.311922360328,25.445444484608835
2049,79200,29.29128139232271,7.526295705920624,10082.745177119998,23799.600000000002,41552.549999999996,20626.23806467144,775.3239298633708,0,96836.45717165481,0.82,64943.99999999999,34212.09282834519,34212.09282834519,26.106426075179918
2050,78500,30.0,8.0,10353.045976,25316.250000000004,42917.549999999996,21195.0,824.2500000000007,0,100606.095976,0.75,58875.0,36511.45402399999,36511.45402399999,26.627848896074934
2051,77900,30.708718607677294,8.468704294079377,10695.84923232,26782.020000000004,44087.549999999996,21778.323923763826,872.7180967631759,0,104216.461252847,0.687,53517.3,38258.78874715298,38258.78874715298,26.852936736136968
2052,77300,31.4229694209499,8.929608327911515,11034.12158912,28168.120000000003,45257.549999999996,22355.93973923227,919.438085621341,0,107735.1694139736,0.624,48235.2,40022.180586026385,40022.180586026385,27.08642283177547
2053,76700,32.14828464541314,9.379911841249186,11367.817202559998,29475.810000000005,46427.549999999996,22933.44133609304,964.1088573357197,0,111168.72739598877,0.561,43028.700000000004,41795.122604011216,41795.122604011216,27.323529450920088
2054,76100,32.890196486662326,9.816814573845154,11696.890228799999,30706.350000000006,47597.549999999996,23516.243360572542,1006.4393836044251,0,114523.47297297696,0.498,37897.8,43571.277027023025,43571.277027023025,27.560230195514414
2055,75500,33.65423715029278,10.23751626545218,12021.294823999999,31861.000000000007,48767.549999999996,24109.581215435916,1046.1487170624605,0,117805.57475649839,0.435,32842.5,45344.4752435016,45344.4752435016,27.793111459972952
2056,75000,34.4459388418998,10.639216655823033,12357.46176,32985.00000000001,49742.549999999996,24751.51307742355,1084.411873780092,0,120920.93671120366,0.372,27900.0,47171.61328879633,47171.61328879633,28.062881602305595
2057,74500,35.27083376707872,11.019115484710476,12689.982412799996,34039.05,50717.549999999996,25416.141061239425,1119.6361554163966,0,123982.35962945582,0.309,23020.5,48989.690370544165,48989.690370544165,28.32231587157819
2058,74000,36.13445413142485,11.374412491867275,13018.818579199999,35024.20000000001,51692.549999999996,26108.319677293428,1151.5597865972684,0,126995.4480430907,0.246,18204.0,50793.10195690929,50793.10195690929,28.56938872436346
2059,73500,37.0423321405335,11.702307417046192,13343.932056,35941.50000000001,52667.549999999996,26832.75406644437,1179.9293927293438,0,129965.66551517372,0.183,13450.5,52576.38448482627,52576.38448482627,28.802341424798435
2060,73100,38.0,12.0,13684.004207999998,36842.40000000001,53447.549999999996,27631.800000000003,1206.150000000001,0,132811.904208,0.12,8772.0,54408.645791999996,54408.645791999996,29.06125732031019
